n,iters
300,2392
300,2296
300,2366
300,2366
300,2333
300,2394
300,2343
300,2393
300,2372
300,2351
300,2322
300,2342
300,2351
300,2341
300,2355
300,2409
300,2353
300,2357
300,2375
300,2393
300,2315
300,2356
300,2368
300,2409
300,2358
300,2333
300,2341
300,2314
300,2374
300,2298
300,2301
300,2358
300,2386
300,2375
300,2374
300,2297
300,2408
300,2342
300,2349
300,2362
300,2353
300,2399
300,2336
300,2401
300,2370
300,2430
300,2347
300,2340
300,2392
300,2329
300,2372
300,2381
300,2326
300,2347
300,2372
300,2305
300,2418
300,2333
300,2393
300,2373
300,2329
300,2375
300,2382
300,2353
300,2381
300,2378
300,2339
300,2322
300,2406
300,2369
300,2339
300,2353
300,2298
300,2345
300,2341
300,2355
300,2304
300,2371
300,2372
300,2315
300,2325
300,2297
300,2404
300,2373
300,2370
300,2315
300,2379
300,2414
300,2283
300,2320
300,2359
300,2355
300,2335
300,2370
300,2366
300,2356
300,2311
300,2276
300,2331
300,2370
300,2357
300,2367
300,2344
300,2386
300,2369
300,2419
300,2375
300,2271
300,2430
300,2309
300,2411
300,2313
300,2342
300,2342
300,2392
300,2364
300,2417
300,2294
300,2323
300,2409
300,2436
300,2283
300,2385
300,2348
300,2371
300,2348
300,2365
300,2359
300,2315
300,2378
300,2384
300,2311
300,2417
300,2327
300,2359
300,2424
300,2322
300,2387
300,2333
300,2333
300,2337
300,2361
300,2360
300,2426
300,2388
300,2422
300,2427
300,2359
300,2343
300,2358
300,2376
300,2340
300,2365
300,2415
300,2365
300,2370
300,2341
300,2400
300,2399
300,2372
300,2305
300,2326
300,2350
300,2357
300,2344
300,2415
300,2384
300,2343
300,2362
300,2322
300,2327
300,2324
300,2356
300,2326
300,2418
300,2326
300,2358
300,2409
300,2349
300,2325
300,2355
300,2409
300,2340
300,2262
300,2353
300,2360
300,2389
300,2382
300,2291
300,2482
300,2428
300,2373
300,2371
300,2288
300,2302
300,2364
300,2392
300,2426
300,2367
300,2459
300,2378
300,2360
300,2351
300,2398
300,2356
300,2345
300,2370
300,2335
300,2312
300,2393
300,2319
300,2363
300,2356
300,2391
300,2369
300,2316
300,2324
300,2351
300,2354
300,2443
300,2340
300,2337
300,2417
300,2439
300,2323
300,2287
300,2367
300,2419
300,2296
300,2391
300,2306
300,2373
300,2381
300,2436
300,2338
300,2346
300,2420
300,2329
300,2491
300,2372
300,2334
300,2374
300,2321
300,2332
300,2383
300,2335
300,2408
400,3093
400,3075
400,3083
400,3220
400,3178
400,3140
400,3084
400,3208
400,3173
400,3145
400,3143
400,3154
400,3165
400,3167
400,3140
400,3138
400,3165
400,3160
400,3141
400,3140
400,3087
400,3232
400,3111
400,3087
400,3203
400,3116
400,3180
400,3157
400,3174
400,3177
400,3120
400,3147
400,3202
400,3102
400,3057
400,3153
400,3074
400,3139
400,3175
400,3092
400,3104
400,3173
400,3095
400,3130
400,3173
400,3194
400,3096
400,3104
400,3159
400,3189
400,3158
400,3206
400,3039
400,3221
400,3225
400,3089
400,3193
400,3131
400,3160
400,3259
400,3158
400,3120
400,3109
400,3129
400,3201
400,3147
400,3173
400,3216
400,3152
400,3063
400,3203
400,3177
400,3126
400,3200
400,3141
400,3124
400,3181
400,3147
400,3053
400,3187
400,3217
400,3128
400,3162
400,3115
400,3246
400,3140
400,3179
400,3164
400,3255
400,3122
400,3161
400,3165
400,3156
400,3121
400,3082
400,3152
400,3109
400,3172
400,3144
400,3186
400,3121
400,3133
400,3197
400,3126
400,3246
400,3146
400,3136
400,3180
400,3150
400,3162
400,3107
400,3186
400,3171
400,3069
400,3186
400,3206
400,3222
400,3132
400,3132
400,3148
400,3075
400,3181
400,3165
400,3208
400,3120
400,3130
400,3169
400,3196
400,3157
400,3233
400,3201
400,3175
400,3173
400,3190
400,3115
400,3190
400,3167
400,3155
400,3140
400,3108
400,3156
400,3219
400,3178
400,3210
400,3107
400,3178
400,3163
400,3177
400,3101
400,3151
400,3132
400,3175
400,3179
400,3187
400,3181
400,3129
400,3178
400,3127
400,3116
400,3083
400,3100
400,3185
400,3176
400,3113
400,3138
400,3164
400,3147
400,3146
400,3147
400,3182
400,3134
400,3148
400,3158
400,3167
400,3175
400,3141
400,3121
400,3082
400,3172
400,3139
400,3098
400,3126
400,3168
400,3163
400,3179
400,3180
400,3168
400,3116
400,3090
400,3154
400,3143
400,3133
400,3129
400,3134
400,3142
400,3132
400,3169
400,3164
400,3116
400,3134
400,3155
400,3103
400,3096
400,3153
400,3140
400,3164
400,3213
400,3200
400,3040
400,3110
400,3164
400,3203
400,3182
400,3121
400,3143
400,3169
400,3117
400,3141
400,3113
400,3182
400,3188
400,3126
400,3132
400,3153
400,3114
400,3086
400,3260
400,3188
400,3103
400,3062
400,3048
400,3112
400,3143
400,3171
400,3135
400,3188
400,3096
400,3131
400,3127
400,3075
400,3119
400,3204
400,3076
400,3110
400,3136
400,3156
400,3165
400,3218
400,3123
400,3196
400,3070
400,3096
400,3135
400,3131
400,3117
400,3164
400,3235
400,3113
400,3140
400,3156
400,3203
400,3128
400,3110
400,3117
400,3129
400,3161
400,3133
400,3138
400,3098
400,3172
400,3111
400,3178
400,3118
400,3118
400,3217
400,3078
400,3168
400,3205
400,3174
400,3086
400,3217
400,3150
400,3117
400,3055
400,3093
400,3075
400,3109
400,3138
400,3109
400,3138
400,3133
400,3084
400,3080
400,3192
400,3106
400,3201
400,3151
400,3112
400,3141
400,3125
400,3112
400,3235
400,3149
400,3220
400,3167
400,3223
400,3171
400,3092
400,3103
400,3120
400,3133
400,3174
400,3125
400,3214
400,3130
400,3164
400,3181
400,3159
400,3149
400,3177
400,3170
400,3094
400,3150
400,3145
400,3169
400,3144
400,3147
400,3099
400,3150
400,3199
400,3169
400,3169
