n,iters
300,3191
300,3291
300,3192
300,3222
300,3236
300,3231
300,3290
300,3189
300,3238
300,3188
300,3311
300,3210
300,3205
300,3279
300,3228
300,3169
300,3156
300,3230
300,3189
300,3223
300,3162
300,3225
300,3173
300,3233
300,3211
300,3273
300,3304
300,3258
300,3077
300,3242
300,3197
300,3255
300,3228
300,3210
300,3211
300,3149
300,3234
300,3299
300,3191
300,3205
300,3242
300,3206
300,3192
300,3210
300,3246
300,3150
300,3269
300,3184
300,3188
300,3189
300,3104
300,3188
300,3274
300,3136
300,3265
300,3204
300,3269
300,3240
300,3196
300,3232
300,3250
300,3273
300,3302
300,3293
300,3274
300,3180
300,3183
300,3264
300,3227
300,3184
300,3284
300,3198
300,3231
300,3287
300,3215
300,3181
300,3361
300,3276
300,3189
300,3233
300,3255
300,3258
300,3276
300,3289
300,3313
300,3166
300,3314
300,3216
300,3170
300,3236
300,3137
300,3158
300,3172
300,3250
300,3299
300,3309
300,3223
300,3123
300,3201
300,3300
300,3246
300,3264
300,3205
300,3280
300,3128
300,3300
300,3250
300,3226
300,3267
300,3137
300,3266
300,3165
300,3166
300,3275
300,3196
300,3189
300,3265
300,3183
300,3171
300,3211
300,3159
300,3221
300,3135
300,3238
300,3286
300,3177
300,3281
300,3207
300,3303
300,3237
300,3165
300,3217
300,3223
300,3204
300,3208
300,3219
300,3300
300,3262
300,3222
300,3208
300,3290
300,3196
300,3270
300,3324
300,3226
300,3200
300,3327
300,3202
300,3253
300,3272
300,3212
300,3235
300,3249
300,3233
300,3195
300,3121
300,3251
300,3183
300,3233
300,3213
300,3288
300,3211
300,3221
300,3244
300,3214
300,3265
300,3163
300,3244
300,3253
300,3180
300,3211
300,3171
300,3173
300,3149
300,3216
300,3226
300,3186
300,3215
300,3202
300,3110
300,3241
300,3306
300,3195
300,3276
300,3180
300,3173
300,3191
300,3209
300,3362
300,3173
300,3204
300,3244
300,3234
300,3188
300,3141
300,3241
300,3210
300,3271
300,3244
300,3220
300,3260
300,3242
300,3167
400,4143
400,4228
400,4175
400,4126
400,4157
400,4271
400,4097
400,4249
400,4152
400,4197
400,4132
400,4204
400,4094
400,4278
400,4078
400,4163
400,4162
400,4262
400,4264
400,4175
400,4136
400,4152
400,4133
400,4167
400,4193
400,4133
400,4080
400,4197
400,4259
400,4208
400,4279
400,4177
400,4120
400,4164
400,4365
400,4107
400,4125
400,4102
400,4179
400,4171
400,4091
400,4064
400,4265
400,4082
400,4233
400,4072
400,4146
400,4049
400,4197
400,4170
400,4112
400,4137
400,4174
400,4155
400,4184
400,4106
400,4155
400,4135
400,4246
400,4129
400,4193
400,4156
400,4276
400,4098
400,4061
400,4234
400,4304
400,4193
400,4127
400,4079
400,4205
400,4261
400,4186
400,4106
400,4146
400,4251
400,4097
400,4232
400,4324
400,4184
400,4192
400,4217
400,4164
400,4131
400,4013
400,4216
400,4246
400,4222
400,4163
400,4202
400,4175
400,4186
400,4262
400,4180
400,4212
400,4141
400,4101
400,4117
400,4147
400,4185
400,4172
400,4208
400,4254
400,4228
400,4267
400,4278
400,4052
400,4157
400,4145
400,4210
400,4178
400,4184
400,4146
400,4181
400,4209
400,4137
400,4180
400,4127
400,4348
400,4191
400,4211
400,4233
400,4207
400,4082
400,4133
400,4190
400,4235
400,4322
400,4212
400,4141
400,4073
400,4188
400,4112
400,4208
400,4147
400,4281
400,4151
400,4128
400,4157
400,4060
400,4157
400,4162
400,4222
400,4219
400,4271
400,4174
400,4162
400,4198
400,4345
400,4121
400,4233
400,4154
400,4186
400,4174
400,4217
400,4180
400,4085
400,4181
400,4249
400,4077
400,4161
400,4184
400,4246
400,4089
400,4221
400,4052
400,4304
400,4117
400,4265
400,4261
400,4226
400,4080
400,4138
400,4259
400,4215
400,4096
400,4208
400,4162
400,4220
400,4219
400,4184
400,4149
400,4143
400,4029
400,4149
400,4301
400,4105
400,4209
400,4102
400,4125
400,4149
400,4151
400,4118
400,4244
400,4213
400,4039
400,4215
400,4241
400,4036
400,4164
400,4213
400,4179
400,4181
400,4158
400,4114
400,4106
400,4163
400,4191
400,4276
400,4296
400,4156
400,4100
400,4154
400,4075
400,4212
400,4118
400,4170
400,4209
400,4137
400,4167
400,4193
400,4125
400,4245
400,4165
400,4156
400,4210
400,4199
400,4192
400,4160
400,4129
400,4164
400,4169
400,4078
400,4164
400,4295
400,4303
400,4163
400,4204
400,4180
400,4190
400,4063
400,4197
400,4167
400,4171
400,4148
400,4067
400,4213
400,4130
400,4161
400,4237
400,4183
400,4231
400,4269
400,4101
400,4059
400,4139
400,4167
400,4113
400,4138
400,4078
400,4138
400,4139
400,4156
400,4092
400,4323
400,4147
400,4168
400,4226
400,4159
400,4222
400,4184
400,4207
400,4220
400,4286
400,4178
400,4193
400,4131
400,4160
400,4320
400,4181
400,4166
400,4253
400,4125
400,4099
400,4210
400,4138
400,4199
400,4184
400,4223
400,4257
400,4124
400,4289
400,4264
400,4144
400,4139
400,4180
400,4243
400,4209
400,4281
400,4067
400,4076
400,4201
400,4134
400,4108
400,4086
400,4237
400,4208
400,4197
400,4176
400,4084
400,4184
400,4099
400,4168
400,4241
400,4082
400,4240
400,4109
400,4130
400,4198
400,4197
400,4205
400,4233
400,4191
400,4167
400,4191
400,4197
400,4108
400,4183
400,4117
400,4208
400,4236
400,4063
400,4220
400,4175
400,4329
400,4192
400,4145
400,4361
400,4204
400,4265
400,4248
400,4277
400,4179
400,4133
400,4206
400,4216
400,4272
400,4208
400,4091
400,4184
400,4160
400,4126
400,4170
400,4145
400,4107
400,4261
400,4179
400,4144
400,4093
400,4118
400,4152
400,4281
400,4217
400,4191
400,4220
400,4049
400,4213
400,4139
400,4146
400,4196
400,4251
400,4137
400,4182
400,4212
400,4187
400,4120
400,4109
400,4234
400,4104
400,4147
400,4137
400,4139
400,4227
400,4140
400,4099
400,4224
400,4150
400,4115
400,4270
400,4114
400,4265
400,4190
400,4117
400,4216
400,4185
400,4106
400,4157
400,4203
400,4156
400,4119
400,4192
400,4134
400,4075
400,4212
400,4176
400,4252
400,4110
400,4206
400,4175
400,4284
400,4185
400,4168
400,4137
400,4280
400,4243
400,4112
400,4305
400,4209
400,4169
400,4156
400,4158
400,4213
400,4202
400,4249
400,4155
400,4068
400,4244
400,4203
400,4148
400,4224
400,4109
400,4224
400,4199
400,4103
400,4116
400,4096
400,4247
400,4181
400,4180
400,4137
400,4175
400,4194
400,4122
400,4190
400,4168
400,4321
400,4298
400,4088
400,4202
400,4160
400,4234
400,4226
400,4288
400,4048
400,4229
400,4168
400,4173
400,4196
400,4223
400,4164
400,4052
400,4156
400,4243
400,4133
400,4195
400,4162
400,4109
400,4068
400,4086
400,4127
400,4225
400,4122
400,4168
400,4125
400,4216
400,4203
400,4200
400,4121
400,4128
400,4160
400,4165
400,4198
400,4210
400,4199
400,4194
400,4100
400,4123
400,4280
400,4214
400,4111
400,4165
400,4173
400,4144
400,4054
400,4209
400,4124
400,4249
400,4188
400,4194
400,4098
500,5484
500,5509
500,5467
500,5478
500,5393
500,5501
500,5465
500,5375
500,5624
500,5548
500,5496
500,5418
500,5525
500,5475
500,5499
500,5495
500,5467
500,5467
500,5538
500,5556
500,5470
500,5344
500,5485
500,5392
500,5510
500,5572
500,5439
500,5418
500,5472
500,5511
500,5417
500,5385
500,5451
500,5490
500,5527
500,5532
500,5549
500,5564
500,5548
500,5446
500,5493
500,5463
500,5408
500,5454
500,5503
500,5523
500,5397
500,5412
500,5438
500,5511
500,5413
500,5432
500,5636
500,5486
500,5393
500,5405
500,5487
500,5488
500,5518
500,5527
500,5520
500,5444
500,5472
500,5390
500,5534
500,5340
500,5554
500,5314
500,5434
500,5517
500,5436
500,5516
500,5379
500,5455
500,5449
500,5468
500,5588
500,5522
500,5483
500,5515
500,5534
500,5361
500,5475
500,5519
500,5527
500,5380
500,5468
500,5591
500,5516
500,5479
500,5491
500,5466
500,5485
500,5399
500,5606
500,5532
500,5604
500,5376
500,5471
500,5545
500,5588
500,5421
500,5564
500,5549
500,5475
500,5546
500,5376
500,5527
500,5474
500,5464
500,5473
500,5453
500,5487
500,5392
500,5461
500,5437
500,5527
500,5543
500,5423
500,5526
500,5440
500,5461
500,5488
500,5569
500,5474
500,5503
500,5437
500,5485
500,5419
500,5474
500,5414
500,5528
500,5518
500,5505
500,5541
500,5523
500,5569
500,5593
500,5667
500,5627
500,5455
500,5373
500,5395
500,5479
500,5480
500,5584
500,5404
500,5399
500,5376
500,5520
500,5441
500,5405
500,5538
500,5500
500,5497
500,5575
500,5409
500,5529
500,5598
500,5454
500,5471
500,5430
500,5474
500,5456
500,5458
500,5513
500,5507
500,5524
500,5465
500,5476
500,5488
500,5652
500,5543
500,5460
500,5353
500,5485
500,5517
500,5530
500,5507
500,5449
500,5556
500,5462
500,5386
500,5463
500,5515
500,5558
500,5519
500,5508
500,5489
500,5460
500,5426
500,5460
500,5477
500,5634
500,5477
500,5495
500,5556
500,5559
500,5498
500,5493
500,5468
500,5632
500,5480
500,5430
500,5476
500,5583
500,5327
500,5459
500,5516
500,5472
500,5497
500,5429
500,5509
500,5558
500,5461
500,5554
500,5605
500,5578
500,5610
500,5435
500,5418
500,5402
500,5455
500,5410
500,5482
500,5465
500,5525
500,5585
500,5489
500,5584
500,5350
500,5522
500,5552
500,5479
500,5398
500,5498
500,5418
500,5625
500,5389
500,5556
500,5298
500,5497
500,5557
500,5446
500,5491
500,5316
500,5603
500,5540
500,5479
500,5509
500,5469
500,5535
500,5597
500,5472
500,5406
500,5525
500,5456
500,5508
500,5487
500,5449
500,5405
500,5502
500,5539
500,5526
500,5600
500,5514
500,5526
500,5470
500,5421
500,5386
500,5443
500,5504
500,5392
500,5506
500,5567
500,5614
500,5365
500,5625
500,5591
500,5484
500,5533
500,5504
500,5466
500,5285
500,5461
500,5568
500,5501
500,5545
500,5453
500,5466
500,5588
500,5539
500,5466
500,5577
500,5418
500,5522
500,5508
500,5517
500,5358
500,5392
500,5563
500,5549
500,5394
500,5450
500,5494
500,5580
500,5584
500,5451
500,5580
500,5489
500,5459
500,5437
500,5546
500,5389
500,5407
500,5495
500,5490
500,5479
500,5480
500,5286
500,5452
500,5497
500,5485
500,5437
500,5451
500,5492
500,5474
500,5507
500,5511
500,5465
500,5563
500,5498
500,5419
500,5456
500,5433
500,5371
500,5507
500,5461
500,5467
500,5475
500,5584
500,5305
500,5560
500,5395
500,5475
500,5462
500,5573
500,5485
500,5442
500,5435
500,5340
500,5488
500,5522
500,5546
500,5463
500,5549
500,5452
500,5394
500,5560
500,5469
500,5336
500,5555
500,5568
500,5457
500,5571
500,5413
500,5493
500,5482
500,5492
500,5512
500,5551
500,5524
500,5540
500,5424
500,5548
500,5556
500,5427
500,5370
500,5432
500,5434
500,5586
500,5397
500,5342
500,5628
500,5558
500,5511
500,5369
500,5358
500,5417
500,5454
500,5696
500,5449
500,5576
500,5390
500,5481
500,5460
500,5408
500,5332
500,5452
500,5460
500,5454
500,5471
500,5602
500,5416
500,5483
500,5382
500,5450
500,5585
500,5516
500,5516
500,5551
500,5531
500,5495
500,5458
500,5481
500,5457
500,5526
500,5583
500,5568
500,5444
500,5436
500,5486
500,5572
500,5426
500,5496
500,5549
500,5432
500,5369
500,5463
500,5472
500,5373
500,5463
500,5450
500,5568
500,5481
500,5482
500,5447
500,5537
500,5542
500,5572
500,5422
500,5403
500,5450
500,5517
500,5523
500,5521
500,5520
500,5552
500,5482
500,5539
500,5463
500,5534
500,5540
500,5422
500,5559
500,5456
500,5437
500,5511
500,5439
500,5626
500,5527
500,5573
500,5466
500,5521
500,5405
500,5551
500,5454
500,5430
500,5401
500,5497
500,5502
500,5276
500,5485
500,5546
500,5504
500,5341
500,5456
500,5461
500,5417
500,5577
500,5448
500,5422
500,5464
500,5602
500,5477
500,5514
500,5444
500,5544
500,5451
500,5439
500,5421
500,5508
500,5505
500,5543
500,5457
500,5462
500,5496
500,5415
500,5385
500,5448
600,6477
600,6534
600,6367
600,6412
600,6514
600,6498
600,6594
600,6476
600,6491
600,6507
600,6403
600,6319
600,6496
600,6478
600,6537
600,6371
600,6562
600,6518
600,6440
600,6433
600,6425
600,6473
600,6420
600,6495
600,6370
600,6521
600,6430
600,6399
600,6428
600,6519
600,6523
600,6508
600,6405
600,6446
600,6419
600,6444
600,6561
