n,iters
400,448254
400,447583
400,941337
400,380648
400,411322
400,435547
400,435717
400,391553
400,563375
400,304699
400,534829
400,369143
400,411136
400,410697
400,405170
400,915613
400,391179
400,555109
400,531956
400,387720
400,835054
400,473085
400,443569
400,424095
400,340667
400,317834
400,465406
400,358399
400,359611
400,543618
400,435132
400,498188
400,292194
400,409874
400,319686
400,345489
400,363288
400,387662
400,352554
400,551408
400,390309
400,318493
400,394866
400,542163
400,441755
400,415064
400,402882
400,417626
400,1052706
400,380888
400,424801
400,310760
400,349014
400,291837
400,343185
400,343546
400,340445
400,425869
400,466276
400,367981
400,457503
400,449421
400,476571
400,451567
400,302019
400,481213
400,384770
400,348383
400,379667
400,408140
400,498808
400,519977
400,456887
400,338972
400,507195
400,331867
400,387872
400,377018
400,336667
400,480805
400,311454
400,358377
400,353869
400,340395
400,392851
400,697826
400,711170
400,393125
400,468600
400,336589
400,449724
400,408547
400,319770
400,391196
400,398568
400,358515
400,404590
400,426374
400,443165
400,425782
400,431474
400,418490
400,503530
400,551869
400,493798
400,382000
400,378041
400,509101
400,350828
400,407478
400,401433
400,382920
400,424524
400,427843
400,1506122
400,325929
400,363512
400,340033
400,388397
400,489036
400,453112
400,665417
400,739031
400,359738
400,410391
400,319309
400,507655
400,414074
400,587903
400,735855
400,621390
400,339511
400,432154
400,343089
400,318019
400,481214
400,403519
400,464682
400,606533
400,384061
400,391451
400,374062
400,510019
400,492852
400,379076
400,376916
400,352088
400,440308
400,386999
400,448486
400,399143
400,351321
400,390387
400,390250
400,281643
400,377520
400,412904
400,420239
400,403988
400,394505
400,656213
400,699148
400,429913
400,448897
400,379693
400,359865
400,366067
400,526238
400,342031
400,399444
400,374707
400,396264
400,2995577
400,395149
400,494010
400,688520
400,437841
400,537089
400,361981
400,363224
400,407316
400,363882
400,365672
400,1239908
400,553962
400,770842
400,284025
400,504499
400,343357
400,649557
400,359984
400,518148
400,751995
400,338096
400,387027
400,326566
400,310366
400,444232
400,685330
400,381818
400,334764
400,391122
400,396094
400,449139
400,401057
400,348662
400,829847
400,547149
400,355209
400,428297
400,429651
400,332590
400,389230
400,332916
400,971117
400,392994
400,506241
400,437522
400,392357
400,589143
400,398381
400,346347
400,382081
400,332629
400,458746
400,1342108
400,409381
400,319691
400,287840
400,388323
400,362422
400,378959
400,355176
400,349751
400,462669
400,464377
400,373636
400,582223
400,954341
400,498052
400,368375
400,476530
400,410906
400,435048
400,516405
400,632620
400,432571
400,454988
400,540741
400,387634
400,513517
400,296677
400,402936
400,497869
400,538153
400,420922
400,409264
400,686826
400,431021
400,384628
400,357605
400,431572
400,435359
400,487944
400,487375
400,277556
400,311804
400,475914
400,326469
400,363243
400,609570
400,339723
400,535888
400,345366
400,536514
400,395398
400,423182
400,352283
400,410319
400,424648
400,401096
400,383448
400,390270
400,390060
400,421955
400,739737
400,344451
400,526440
400,303254
400,403039
400,606913
400,379392
400,348981
400,357943
400,353767
400,470492
400,489546
400,401362
400,322424
400,325328
400,329647
400,597066
400,795837
400,358240
400,422386
400,421486
400,393380
400,304877
400,374348
400,411254
400,293224
400,495109
400,412794
400,320694
400,322244
400,399499
400,330434
400,336926
400,368412
400,415276
400,484220
400,401409
400,405508
400,481740
400,315505
400,389944
400,311809
400,505483
400,510075
400,450178
400,450657
400,549099
400,618789
400,345868
400,407973
400,998460
400,363118
400,441100
400,293615
400,489257
400,419565
400,404417
400,515003
400,373267
500,1016297
500,741282
500,549350
500,637595
500,5541859
500,521710
500,629436
500,655612
500,1584849
500,795873
500,629937
500,828635
500,526293
500,546245
500,885486
500,690277
500,862729
500,928478
500,1072367
500,815594
500,556922
500,597911
500,744729
500,558811
500,576348
500,570161
500,732534
500,540048
500,544792
500,636031
500,916967
500,1242886
500,662175
500,761213
500,580385
500,661186
500,591422
500,724662
500,558698
500,595497
500,447064
500,651230
500,517376
500,617101
500,656057
500,636145
500,468516
500,473459
500,533627
500,668088
500,568191
500,484611
500,894643
500,499011
500,562437
500,450801
500,2281779
500,516944
500,662133
500,1390058
500,1231524
500,476110
500,462072
500,546419
500,459660
500,1014635
500,666148
500,544920
500,677364
500,591635
500,1041628
500,631813
500,473866
500,681758
500,1034344
500,562739
500,1003825
500,503141
500,2947191
500,588419
500,656651
500,810507
500,776062
500,697548
500,632931
500,822980
500,636407
500,827135
500,507321
500,755606
500,969795
500,689588
500,1154034
500,540620
500,777566
500,763597
500,470553
500,486026
500,1262364
500,605973
500,747262
500,3304213
500,792778
500,748544
500,541921
500,4186774
500,891493
500,584843
500,522340
500,650764
500,620597
500,738818
500,592892
500,477283
500,645877
500,443129
500,1077214
500,452657
500,708476
500,844609
500,579671
500,634697
500,551983
500,563029
500,699458
500,420274
500,476866
500,527116
500,734837
500,610693
500,749007
500,675243
500,461739
500,562405
500,544893
500,734075
500,726184
500,653753
500,616264
500,709727
500,494323
500,752698
500,549505
500,611998
500,592267
500,596908
500,850906
500,965944
500,682351
500,647515
500,550421
500,534868
500,783157
500,805487
500,737116
500,728824
500,472300
500,696498
500,533701
500,885364
500,549005
500,675216
500,1427098
500,577704
500,520256
500,561041
500,945269
500,545226
500,537332
500,693002
500,586910
500,656344
500,869056
500,863751
500,969919
500,488677
500,493693
500,456365
500,736454
500,433241
500,832916
500,701858
500,672376
500,765573
500,526842
500,837024
500,862990
500,1311580
500,674803
500,629960
500,501091
500,574304
500,847615
500,766848
500,763245
500,541883
500,477320
500,557539
500,520103
500,495946
500,811547
500,542347
500,598807
500,1048891
500,24312057
500,442130
500,684340
500,585292
500,734664
500,3217205
500,433876
500,975246
500,835860
500,485259
500,890665
500,624880
500,570345
500,548272
500,662277
500,761483
500,639759
500,823761
500,4720495
500,540998
500,580302
500,734175
500,523020
500,505725
500,792763
500,520504
500,860209
500,540822
500,618539
500,596447
500,534072
500,743843
500,615971
500,726266
500,615257
500,578472
500,567561
500,513163
500,605822
500,794125
500,668949
500,793370
500,533298
500,551038
500,711056
500,458968
500,647017
500,730767
500,611788
500,689170
500,776522
500,574748
500,606696
500,482202
500,738340
500,712642
500,1656572
500,854054
500,603874
500,666678
500,565205
500,684717
500,1151105
500,2487153
500,977584
500,501456
500,507428
500,930055
500,483239
500,590949
500,596897
500,488090
500,656844
500,764162
500,656688
500,506531
500,663172
500,602455
500,940836
500,769140
500,666507
500,480845
500,668709
500,589855
500,762589
500,568824
500,696537
500,3008940
500,687530
500,567463
500,623562
500,873419
500,745876
500,792090
500,691437
500,547640
500,1474860
500,628017
500,1046227
500,658942
500,1171509
500,709362
500,494879
500,512052
500,842184
500,667361
500,807769
500,5658300
500,736004
500,1385278
500,741311
500,547716
500,431492
500,531198
500,871531
500,503914
500,1087528
500,807201
500,675154
500,613999
500,609849
500,581420
500,641132
500,477515
500,596997
500,938993
500,849274
500,1159605
500,612531
500,1616596
500,619301
500,666742
500,1046725
500,522794
500,715111
500,548350
500,554537
500,578117
500,668955
500,905260
500,552027
500,482520
500,721627
500,652198
500,739301
500,720856
500,581071
500,571275
500,740447
500,562887
500,579361
500,509140
500,674772
500,514628
500,546974
500,683926
500,549268
500,643964
500,584668
500,636793
500,676296
500,733452
500,670729
500,719929
500,1132411
500,679015
500,604138
500,597460
500,615195
500,603413
500,865694
500,716153
500,472758
500,807468
500,780617
500,667880
500,600376
500,582595
500,564871
500,613589
500,538567
500,632419
500,916585
500,523125
500,598019
500,463503
500,728649
500,494327
500,763869
500,596927
500,663988
500,620382
500,527397
500,615255
500,754769
500,575453
500,627291
500,666852
500,603388
500,616866
500,452842
500,2232927
500,745760
500,582615
500,1333134
500,1034500
500,536519
500,646456
500,505655
500,1315567
500,442288
500,670891
500,528437
500,491514
500,625035
500,655775
500,558745
500,781863
500,654524
500,581270
500,891543
500,569013
500,584782
500,629499
500,979211
500,521373
500,455222
500,515764
500,862010
500,570034
500,560445
500,505522
500,717766
500,524555
500,2236526
500,486232
500,771847
500,530850
500,517521
500,826743
500,640632
500,724182
500,903148
500,1448897
500,492735
500,866544
500,625550
500,575133
500,570809
500,523847
500,766166
500,1058606
500,810416
500,683548
500,678320
500,603329
500,663629
500,537295
500,428901
500,599283
500,589073
500,587202
500,587570
500,619768
500,668141
500,551177
500,591395
500,562523
500,646665
500,724611
500,735828
500,624210
500,707769
500,1024939
500,812427
500,1059382
500,580636
500,549404
500,635380
500,494094
500,621745
500,468036
500,802662
500,637635
500,872868
500,513327
500,549848
500,750600
500,1324280
500,599810
500,600283
500,878700
500,762675
500,577090
500,639174
500,577557
600,870675
600,773773
600,1132025
600,1963471
600,856019
600,899886
600,993188
600,1094741
600,823526
600,625732
600,630367
600,811712
600,1193087
600,891386
600,963032
600,824903
600,690926
600,1073164
600,678407
600,956756
600,795283
600,1046196
600,791026
600,2151740
600,722967
600,1221050
600,786385
600,1056767
600,753165
600,1376856
600,1102428
600,951854
600,751412
600,873944
600,1878698
600,721233
600,909813
600,1009816
600,771796
600,728004
600,1000524
600,1095223
600,922441
600,698531
600,727413
600,675918
600,992993
600,887202
600,843815
600,978128
600,1411300
600,1267825
600,776027
600,1363282
600,1398539
600,948693
600,717101
600,720087
600,705336
600,903510
600,714855
600,854439
600,865252
600,804524
600,948661
600,1228949
600,1037429
600,695877
600,898177
600,1263337
600,844316
600,1512717
600,780314
600,791484
600,816879
600,923663
600,1112683
600,771077
600,954102
600,916697
600,844979
600,947098
600,684785
600,840741
600,979249
600,916960
600,808171
600,1409301
600,1508162
600,1072199
600,813245
600,1335517
600,1362263
600,903152
600,950024
600,961264
600,698373
600,876535
600,848947
600,606965
600,1099934
600,865276
600,848871
600,1175156
600,772755
600,1150956
600,852031
600,1044604
600,789298
600,704156
600,958703
600,913771
600,832846
600,1067310
600,968119
600,885973
600,687353
600,1455409
600,695432
600,788226
600,1050731
600,736480
600,4407221
600,1219418
600,1069557
600,3457876
600,117753800
600,728781
600,939780
600,729458
600,738336
600,862835
600,747578
600,943132
600,1373365
600,652838
600,974079
600,727079
600,742977
600,690400
600,928036
600,1153464
600,740922
600,1309777
600,623721
600,671191
600,791547
600,882731
600,1031072
600,856985
600,2356552
600,739228
600,670502
600,891274
600,1289895
600,783092
600,1327279
600,15731722
600,2533050
600,1087270
600,678250
600,808364
600,1445767
600,912777
600,1181158
600,1053827
600,860312
600,1439123
600,783734
600,1041696
600,841482
600,4953154
600,1257119
600,952489
600,721190
600,1096723
600,1383684
600,1005404
600,940317
600,807164
600,665121
600,1621848
600,769353
600,942835
600,966528
600,866214
600,1158450
600,874623
600,1050295
600,860624
600,741677
600,738115
600,2723768
600,1036628
600,673871
600,57011954
600,749148
600,768646
600,798944
600,678604
600,814029
600,779957
600,685137
600,825390
600,959844
600,1065490
600,1346372
600,1268875
600,711909
600,929552
600,682973
600,839721
600,908464
600,1022637
600,675046
600,837111
600,1103083
600,924219
600,723440
600,848122
600,1282526
600,651873
600,999170
600,1166565
600,1002481
600,791229
600,956975
600,729559
600,1704795
600,1198883
600,872698
600,990324
600,2968573
600,1082966
600,1438723
600,770703
600,801211
600,1147041
600,816811
600,651478
600,788993
600,706621
600,694061
600,1133048
600,733179
600,856929
600,765664
600,1093111
600,863549
600,792571
600,762960
600,882872
600,730263
600,886148
600,860972
600,661705
600,1036420
600,946938
600,800598
600,849695
600,738838
600,1227950
600,1074602
600,779638
600,1029908
600,710740
600,734574
600,703314
